Título,Resumen,Etiquetas,Enlace
Tea and No Sympathy,"It's Potter's fault, of course, that Draco finds himself trapped in the same twenty-four-hour period, repeating itself over and over again. It's been nearly a year since the unpleasant business at Hogwarts, and Draco's getting on with his life quite nicely, thank you, until Harry sodding Potter steps in and ruins it all, just like always. At first, though, the time loop seems liberating. For the first time in his life, he can do anything, say anything, be anything, without consequence. But the more Draco repeats the day, the more he realises the uncomfortable truth: he's falling head over heels for the speccy git. And suddenly, the time loop feels like a trap. For how can he ever get Harry to love him back when time is, quite literally, against him?","Explicit, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Narcissa Malfoy, Lucius Malfoy, Hermione Granger, Ron Weasley, Aberforth Dumbledore, Rubeus Hagrid, Buckbeak, Justin Finch-Fletchley, Ernie Macmillan, Terence Higgs, Minerva McGonagall, Giant Squid (Harry Potter), Slow Build, Draco-centric, Tea Drinking, Swearing, Muggle London, Houses of Parliament, Malfoy Manor, flangst, Family Feels, Muggle/Wizard Relations, Coming Out, Heartfelt Conversations, Sarcastic Conversations, Owls, Competitive Card Games, Falling In Love, getting drunk, Enthusiastic Snogging, Hogwarts Castle, Sex In The Slytherin Dormitory, Frottage, Time Travel, Time Loop, HP: EWE",https://archiveofourown.org/works/2734082?show_comments=true&view_full_work=true#comments
An Issue of Consequence,Draco has woken up in an alternate universe. Or he has woken up utterly insane. Nothing else can possibly explain why Harry Potter suddenly seems to think he's Draco's boyfriend.,"Explicit, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Draco Malfoy, Harry Potter, Blaise Zabini, Pansy Parkinson, HP: EWE, Hogwarts Eighth Year, Romance, Mystery, Humor, Explicit Sexual Content, Potions",https://archiveofourown.org/works/1439476?show_comments=true&view_full_work=true#comments
Dangerous,"Being trapped in a dungeon with Malfoy — who's a werewolf, a former Death Eater, and a giant git — is definitely dangerous. Harry has no reason to be excited. None at all.","Explicit, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Draco Malfoy, Harry Potter, Knotting, Trapped, Post-Hogwarts, Auror Harry, Werewolves, Werewolf Draco, Scent Kink, Size Kink, Animal Instincts",https://archiveofourown.org/works/1704125
Let The Dark In,"In a world where the rise of Voldemort never occurred, Wizarding society has found new ways to repress and exclude those they consider outsiders. Hermione Granger attends Hogwarts as one of the few Muggle-born students. Despite her efforts to make a place for herself, her future seems set in stone until Sixth Year, when the Triwizard Tournament is announced and everything begins to change.
“Bloody hell,” Ron says from beside her. “I think that blond tosser in the front is a Malfoy.”
She tears her eyes away to stare at Ron. “A who?”
He laughs and points at the blond boy. “Malfoy. I dunno his first name, but he’s definitely got to be a Malfoy. Old pureblood family from here in Britain. Bastards, the lot of them. Always Slytherins here at Hogwarts. Heard his dad sent him to Durmstrang because he didn’t want his son near any Muggle-borns.”","Mature, Creator Chose Not To Use Archive Warnings, F/M, Harry Potter - J. K. Rowling, Hermione Granger/Draco Malfoy, Hermione Granger, Draco Malfoy, Harry Potter, Ron Weasley, Viktor Krum, Albus Dumbledore, Ginny Weasley, Cormac McLaggen, Rita Skeeter, Severus Snape, Durmstrang Student Draco Malfoy, Alternate Universe - No Voldemort, Dark Magic, Triwizard Tournament, The Dark Arts (Harry Potter), Morally Grey Hermione Granger, Slow Burn, No Voldemort Does Not Mean No Bigotry, Angst, Hogwarts Sixth Year, Violence, Attempted Sexual Coercion, Triwizard Champion Hermione Granger, Minor Character Death, Implied/Referenced Suicide, Secret Relationship, Bigotry & Prejudice, Sexual Content, Rivals With Benefits, Combat Training As Foreplay",https://archiveofourown.org/works/32850244?view_full_work=true#kudos
All the Young Dudes - Sirius's Perspective,"this is an ATYD fanfic first!!! and a harry potter fanfic only by necessity. this is literally just me rewriting each chapter of atyd but from Sirius's perspective bc i love this story so much and can't get enough of it. all credit for the original work goes to MsKingBean89 and if for some reason you've stumbled upon this without reading the original ATYD first, please go do that!! Read the original here8/24/23PLEASE DON'T POST MY FICS ON GOODREADS/STORYGRAPHS/ETC.PLEASE DON'T REPOST MY WORKS ON ANY OTHER SITES.PLEASE DON'T PRINT OR BIND MY WORKS USING THIRD PARTY SITES THAT MAKE A PROFIT - DO IT BY HAND OR NOT AT ALL. DO NOT SELL BOUND COPIES OF MY FICS.","Mature, Graphic Depictions Of Violence, Major Character Death, No Archive Warnings Apply, M/M, All the Young Dudes - Fandom, Harry Potter - J. K. Rowling, Sirius Black/Remus Lupin, James Potter/Lily Evans Potter, Sirius Black, Remus Lupin, James Potter, Peter Pettigrew, Regulus Black, Lily Evans Potter, Marlene McKinnon, Mary Macdonald, Bellatrix Black Lestrange, Narcissa Black Malfoy, Minerva McGonagall, Albus Dumbledore, Walburga Black, Orion Black, Filius Flitwick, Severus Snape, Horace Slughorn, Poppy Pomfrey, Frank Longbottom, Alice Longbottom, Gideon Prewett (Harry Potter), Fabian Prewett, Arthur Weasley, Caradoc Dearborn, Emmeline Vance, Dorcas Meadowes, Alastor ""Mad-Eye"" Moody, Fleamont Potter, Euphemia Potter, Molly Weasley, Harry Potter, Ron Weasley, Hermione Granger, Fred Weasley, George Weasley, Ginny Weasley, Nymphadora Tonks, Andromeda Black Tonks, Marauders, Marauders Era (Harry Potter), Marauders Friendship (Harry Potter), Slow Burn, Friends to Lovers, fanfic of a fanfic, i would die for mskingbean89, Inspired by All the Young Dudes - MsKingBean89, Angst, Fluff, Fluff and Angst, Requited Love, Canon Compliant, First Kiss, First War with Voldemort, Domestic Violence, Abuse, Mutual Pining, Internalized Homophobia, wolfstar",https://archiveofourown.org/works/34577035?show_comments=true&view_full_work=true#comments
Wait and Hope,Resumen no encontrado,"Mature, No Archive Warnings Apply, F/M, Harry Potter - J. K. Rowling, Hermione Granger/Draco Malfoy, Harry Potter/Ginny Weasley, Hermione Granger, Draco Malfoy, Harry Potter, Ginny Weasley, Ron Weasley, Lavender Brown, Theodore Nott, Blaise Zabini, Pansy Parkinson, Memory Loss, Romance, Slow Burn, draco is trying so hard, hermione is so confused, harry is so harry, ginny is tired because toddlers, ron is very uncomfortable, lavender is there, pansy goes nuclear, theo is trawling for a boyfriend, blaise just wants to have a drink",https://archiveofourown.org/works/22818646/chapters/56502976
you belong to me (i belong to you),"“What I find absolutely fascinating,” Riddle said, stalking closer, “is you.” He marched forward, backing Harry up until he was pinned to the cool wall of the common room. “Do you know why?”

“No. And I’ll be honest here, Riddle, I don’t particularly care.”

The taller boy grinned at him, small yet infinitely pleased. “That. Right there.” One hand rose and brushed some of Harry’s fringe from his face. “Nathan Ciro was a spineless little boy too afraid of his own shadow to dare even glance in my direction. But you…”

He leaned closer, “You look at me like you want to stab me.”
After an accident, Auror Harry Potter wakes up in the body of fourteen year old Nathan Ciro, a tormented Slytherin who recently tried to end his own life. Seeking answers to his strange predicament, Harry returns to Hogwarts, and causes quite the stir through staff and students - especially when they come to realise he is not the same boy as before.He tries to avoid suspicion, but as his quest for the truth draws more and more attention to him, Harry begins to think that he might not like what he will discover.","Not Rated, Graphic Depictions Of Violence, Rape/Non-Con, Underage Sex, Harry Potter - J. K. Rowling, Harry Potter & Tom Riddle, Death & Harry Potter, Orion Black & Harry Potter, Harry Potter, Tom Riddle, Orion Black, Albus Dumbledore, Gellert Grindelwald, Lestrange Sr. (Harry Potter), Original Characters, Death (Harry Potter), Time Travel, Body Swap, Riddle at Hogwarts Era, Slytherin Politics, Slytherin Harry, Grey Harry, Auror Harry, Mind Games, Obsessive Behavior, Possessive Behavior, Implied/Referenced Rape/Non-con, Rape Aftermath, Underage Rape/Non-con, Suicide Attempt, The Non-con is not between Harry and Tom, Master of Death Harry Potter, Mild Horror, Minor Harry Potter/Ginny Weasley, Technically pre-relationship - Freeform, Tags May Change",https://archiveofourown.org/works/11270490?show_comments=true&view_full_work=true#comments
Measure Of A Man,"To truly know someone is to differentiate between who they once were, who they are now, and who they're capable of being. Hermione realises the duality of one man as she rectifies what she knows of the past and begins to understand the pieces of who Draco Malfoy is now: a father, a son, and a man.","Explicit, No Archive Warnings Apply, F/M, Harry Potter - J. K. Rowling, Hermione Granger/Draco Malfoy, Hermione Granger, Draco Malfoy, Theodore Nott, Daphne Greengrass, Harry Potter, Padma Patil, Pansy Parkinson, Ginny Weasley, Susan Bones, Parvati Patil, Cho Chang, Blaise Zabini, Mr Granger (Harry Potter), Mrs Granger (Harry Potter), Ron Weasley, Neville Longbottom, Narcissa Black Malfoy, Cormac McLaggen's Uncle Tiberius, Percy Weasley, Scorpius Malfoy, Cormac McLaggen, Kingsley Shacklebolt, Luna Lovegood, Dean Thomas, Andromeda Black Tonks, Post-Hogwarts, Harry Potter Epilogue What Epilogue | EWE, Romance, Slow Burn, Angst, POV Hermione Granger, Healer Hermione Granger, Blood and Injury, BAMF Hermione Granger, Past Hermione Granger/Ron Weasley, Gardens & Gardening, Grief/Mourning, Dementia, Slow Romance, Dysfunctional Family, Cooking, Angst and Romance, Sexual Tension, Unreliable Narrator, Emotional Hurt/Comfort, Emotional Support Cactus, The Ministry of Magic is Corrupt (Harry Potter), Nothing to Something to Everything, Angst with a Happy Ending, Intimacy, Anxiety Attacks, Domestic Sexual Tension, Terminal Illnesses, Implied/Referenced Terrorism, Draco Malfoy & Harry Potter Friendship, DILF Draco Malfoy, Canon-Typical Violence, Explicit Sexual Content, Emotional Sex, Female Friendship, Angst and Hurt/Comfort, Semi-Public Sex, Cottagecore Hermione, Widower Draco, NSFW Art, Unintentional Emotional Neglect, Gardener Hermione, Auror Draco Malfoy, ...or something like it, Slow Build, But fast timeline, Child Scorpius Malfoy, Competent Draco Malfoy",https://archiveofourown.org/works/26523892
What We Pretend We Can't See,"Seven years out from the war, Harry learns the hard truth of old history: it’s never quite as far behind you as you thought.","Mature, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Hermione Granger/Ron Weasley, Neville Longbottom/Ginny Weasley",https://archiveofourown.org/works/9794657?view_full_work=true#kudos
The Devil's White Knight,"When Harry wakes up in an alternate timeline--a timeline where Voldemort was defeated long before the first war--he discovers everything is different.  His parents, his godfather, his friends--and him.  Harry must deal with the consequences of who he would have been if he had been raised by his parents, and figure out where he stands with his casual hook up, Draco Malfoy.","Explicit, Creator Chose Not To Use Archive Warnings, F/F, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Sirius Black/Remus Lupin, Regulus Black/James Potter, Hermione Granger/Viktor Krum, Harry Potter, Draco Malfoy, Sirius Black, Remus Lupin, Regulus Black, James Potter, Nymphadora Tonks, Fleur Delacour, Ron Weasley, Hermione Granger, Teddy Lupin, Alternate Universe- Time Travel, No Voldemort, Alternate Timeline, Everyone lives, past James/Lily - Freeform, Past canon relationships mentions, Enemies to Lovers, Time Travel, PTSD, Post-War Trauma, Unspeakables, Tonks/Fleur - Freeform, Lily/Marlene, Fluff, Friends With Benefits, past George/Harry",https://archiveofourown.org/works/6854605?view_full_work=true#kudos
Mental,"Harry has had quite enough of sharing his mind with someone else, thankyouverymuch. A miscast Legilimecy spell says otherwise.(Fic from 2010 FF archive being uploaded here.)AND FOR THE LAST FUCKING TIME, STOP REPOSTING THIS ON WATTPAD. I DO NOT WANT IT ON WATTPAD. YOU DO NOT HAVE PERMISSION TO POST THIS ON WATTPAD.","Mature, Creator Chose Not To Use Archive Warnings, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Ron Weasley, Hermione Granger, Various Characters, Romance, Slow Build, Getting Together, Angst and Humor, Coming Out, Developing Relationship, Legilimency, Mind Control, Magical Accidents, Accidental Bonding, of sorts, Mind Meld, Swearing, Hogwarts Eighth Year",https://archiveofourown.org/works/5163386?view_full_work=true#kudos
Draco Malfoy and the Mirror of Ecidyrue,"All it takes is one look in a mirror and an ill-advised attempt to shatter it, before an embittered Draco Malfoy fresh out of Azkaban is sent back into his body on the day he gets his Hogwarts letter.Suddenly, Draco has an unwanted second chance, with a Sorting Hat that doesn't know what to do with him, a certain Muggleborn who won't leave his study table alone, and green eyes he just can't get out of his head. And then there's his new wand, whose choice of him could just mark him as every bit as dark a wizard as his name means he should be.","Teen And Up Audiences, No Archive Warnings Apply, Gen, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Draco Malfoy & Severus Snape, Hermione Granger & Draco Malfoy, Draco Malfoy, Harry Potter, Hermione Granger, Ron Weasley, Severus Snape, Lucius Malfoy, Dobby (Harry Potter), Time Travel, Slow Burn, Hermione Granger & Draco Malfoy Friendship, Fluff and Angst, Snarky Draco Malfoy, Abuse, Post-Traumatic Stress Disorder - PTSD, Slightly unreliable narrator, Character Study",https://archiveofourown.org/works/23872387
the family evans,"What if, when Petunia Dursley found a little boy on her front doorstep, she took him in? Not into the cupboard under the stairs, not into a twisted childhood of tarnished worth and neglect—what if she took him in?Petunia was jealous, selfish and vicious. We will not pretend she wasn’t. She looked at that boy on her doorstep and thought about her Dudders, barely a month older than this boy. She looked at his eyes and her stomach turned over and over. (Severus Snape saved Harry’s life for his eyes. Let’s have Petunia save it despite them).Let’s tell a story where Petunia Dursley found a baby boy on her doorstep and hated his eyes—she hated them. She took him in and fed him and changed him and got him his shots, and she hated his eyes up until the day she looked at the boy and saw her nephew, not her sister’s shadow. When Harry was two and Vernon Dursley bought Dudley a toy car and Harry a fast food meal with a toy with parts he could choke on Petunia packed her things and got a divorce.","Not Rated, Creator Chose Not To Use Archive Warnings, Gen, Harry Potter - J. K. Rowling, Petunia Evans Dursley & Harry Potter, Petunia Evans Dursley & Lily Evans Potter, Petuna Evans Dursley & Remus Lupin, Dudley Dursley & Harry Potter, Petunia Evans Dursley, Harry Potter, Dudley Dursley, What-If, Family",https://archiveofourown.org/works/3073562
Full circle,"(aka 'how to survive endless rebirth with your so-called soulmate')Harry and Tom’s souls are tied together. Which is why they’re in this endless loop of rebirth. At some point, they stopped caring and just started fucking with people.(cracky humor with a hint of seriousness and plot, my specialty)","Not Rated, Creator Chose Not To Use Archive Warnings, M/M, Harry Potter - J. K. Rowling, Harry Potter/Tom Riddle | Voldemort, Harry Potter/Tom Riddle, Harry Potter, Tom Riddle | Voldemort, Alternate Universe, A different kind of soulmate, Master of Death Harry Potter, Reincarnation, Humor, Crack Treated Seriously, Background Relationships",https://archiveofourown.org/works/6614155?show_comments=true&view_full_work=true#comments
Draco Malfoy and the Mirror of Ecidyrue,"All it takes is one look in a mirror and an ill-advised attempt to shatter it, before an embittered Draco Malfoy fresh out of Azkaban is sent back into his body on the day he gets his Hogwarts letter.Suddenly, Draco has an unwanted second chance, with a Sorting Hat that doesn't know what to do with him, a certain Muggleborn who won't leave his study table alone, and green eyes he just can't get out of his head. And then there's his new wand, whose choice of him could just mark him as every bit as dark a wizard as his name means he should be.","Teen And Up Audiences, No Archive Warnings Apply, Gen, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Draco Malfoy & Severus Snape, Hermione Granger & Draco Malfoy, Draco Malfoy, Harry Potter, Hermione Granger, Ron Weasley, Severus Snape, Lucius Malfoy, Dobby (Harry Potter), Time Travel, Slow Burn, Hermione Granger & Draco Malfoy Friendship, Fluff and Angst, Snarky Draco Malfoy, Abuse, Post-Traumatic Stress Disorder - PTSD, Slightly unreliable narrator, Character Study",https://archiveofourown.org/works/23872387?view_full_work=true#kudos
Evitative,"In the summer before his fifth year at Hogwarts, Harry is drawn to a room in Grimmauld Place. Like the Gryffindor he is, he enters the room without fear. The room is a library, and Harry is surprised to find that he’s eager to learn. Then he gets the bad news: he’s been accidentally expelled from Hogwarts, and he needs to be sorted again. Everyone is confident that he’ll go straight back to Gryffindor, but with what he's been learning, Harry’s not so sure.","Teen And Up Audiences, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Hermione Granger & Harry Potter, Sirius Black & Harry Potter, Pansy Parkinson & Harry Potter, Draco Malfoy & Harry Potter, Harry Potter & Blaise Zabini, Harry Potter, Draco Malfoy, Hermione Granger, Sirius Black, Pansy Parkinson, Blaise Zabini, Theodore Nott, Daphne Greengrass, Slytherin Harry Potter, Dark Arts, Hogwarts Fifth Year, Dark Harry Potter, Slytherins Being Slytherins, Alternate Hogwarts House Sorting, Re-Sorting, Dark Magic, Slow Burn, Slytherin Pride, Protective Slytherins, Pureblood Politics (Harry Potter), Bigotry & Prejudice",https://archiveofourown.org/works/20049589
The Devil's White Knight,"When Harry wakes up in an alternate timeline--a timeline where Voldemort was defeated long before the first war--he discovers everything is different.  His parents, his godfather, his friends--and him.  Harry must deal with the consequences of who he would have been if he had been raised by his parents, and figure out where he stands with his casual hook up, Draco Malfoy.","Explicit, Creator Chose Not To Use Archive Warnings, F/F, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Sirius Black/Remus Lupin, Regulus Black/James Potter, Hermione Granger/Viktor Krum, Harry Potter, Draco Malfoy, Sirius Black, Remus Lupin, Regulus Black, James Potter, Nymphadora Tonks, Fleur Delacour, Ron Weasley, Hermione Granger, Teddy Lupin, Alternate Universe- Time Travel, No Voldemort, Alternate Timeline, Everyone lives, past James/Lily - Freeform, Past canon relationships mentions, Enemies to Lovers, Time Travel, PTSD, Post-War Trauma, Unspeakables, Tonks/Fleur - Freeform, Lily/Marlene, Fluff, Friends With Benefits, past George/Harry",https://archiveofourown.org/works/6854605
What We Pretend We Can't See,Resumen no encontrado,"Mature, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Hermione Granger/Ron Weasley, Neville Longbottom/Ginny Weasley",https://archiveofourown.org/works/9794657/chapters/22068164
Away Childish Things,Resumen no encontrado,"Teen And Up Audiences, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Draco Malfoy, Harry Potter, Age Regression/De-Aging, Past Child Abuse, Past Malnutrition, Past Neglect, Past Touch Deprivation, Dyslexia, Eating Disorders, Verbal Abuse, Internalized Homophobia, Homophobia, Biphobia, Homophobic Slurs, Pure-blood Bigotry, Pure-blood Slurs, Crying, Grief/Mourning, Off-screen death of a secondary character, the Death is an Implied Suicide, Mommy Issues, Daddy Issues, Toxic Masculinity, Long Hair, Emotional Dysfunction, Age Difference, Blood, Bodyswap (kind of), Love Potion/Spell, Potions Accident, Family, Hurt/Comfort, heavy on the comfort, Endearments, Bacon, salad",https://archiveofourown.org/works/16052816/chapters/38768159
Measure Of A Man,"To truly know someone is to differentiate between who they once were, who they are now, and who they're capable of being. Hermione realises the duality of one man as she rectifies what she knows of the past and begins to understand the pieces of who Draco Malfoy is now: a father, a son, and a man.","Explicit, No Archive Warnings Apply, F/M, Harry Potter - J. K. Rowling, Hermione Granger/Draco Malfoy, Hermione Granger, Draco Malfoy, Theodore Nott, Daphne Greengrass, Harry Potter, Padma Patil, Pansy Parkinson, Ginny Weasley, Susan Bones, Parvati Patil, Cho Chang, Blaise Zabini, Mr Granger (Harry Potter), Mrs Granger (Harry Potter), Ron Weasley, Neville Longbottom, Narcissa Black Malfoy, Cormac McLaggen's Uncle Tiberius, Percy Weasley, Scorpius Malfoy, Cormac McLaggen, Kingsley Shacklebolt, Luna Lovegood, Dean Thomas, Andromeda Black Tonks, Post-Hogwarts, Harry Potter Epilogue What Epilogue | EWE, Romance, Slow Burn, Angst, POV Hermione Granger, Healer Hermione Granger, Blood and Injury, BAMF Hermione Granger, Past Hermione Granger/Ron Weasley, Gardens & Gardening, Grief/Mourning, Dementia, Slow Romance, Dysfunctional Family, Cooking, Angst and Romance, Sexual Tension, Unreliable Narrator, Emotional Hurt/Comfort, Emotional Support Cactus, The Ministry of Magic is Corrupt (Harry Potter), Nothing to Something to Everything, Angst with a Happy Ending, Intimacy, Anxiety Attacks, Domestic Sexual Tension, Terminal Illnesses, Implied/Referenced Terrorism, Draco Malfoy & Harry Potter Friendship, DILF Draco Malfoy, Canon-Typical Violence, Explicit Sexual Content, Emotional Sex, Female Friendship, Angst and Hurt/Comfort, Semi-Public Sex, Cottagecore Hermione, Widower Draco, NSFW Art, Unintentional Emotional Neglect, Gardener Hermione, Auror Draco Malfoy, ...or something like it, Slow Build, But fast timeline, Child Scorpius Malfoy, Competent Draco Malfoy",https://archiveofourown.org/works/26523892?show_comments=true&view_full_work=true#comments
Harry Potter and the Greatest Show,The last real thing Harry remembers is standing across from Voldemort and watching the killing curse fly at his face.Then he visited a fluffy white limbo that somewhat resembles King Cross Station and instead of choosing to move on or go  back he does something else entirely.And wakes up in his cupboard on the morning of Dudley's eleventh birthday.Because that makes sense.(No. No it doesn't.)But Harry is going to roll with it anyway.,"Mature, Creator Chose Not To Use Archive Warnings, M/M, Harry Potter - J. K. Rowling, Harry Potter/Tom Riddle, Harry Potter/Tom Riddle | Voldemort, Harry Potter, Albus Dumbledore, Tom Riddle | Voldemort, Sirius Black, Remus Lupin, Ron Weasley, Hermione Granger, Severus Snape, Draco Malfoy, Neville Longbottom, Hannah Abbott, Susan Bones, Blaise Zabini, Mandy Brocklehurst, do not copy to another site, Time Travel, Master of Death Harry Potter, Slytherin Harry Potter, Harry living his own life, Harry has no idea what he is doing, but he tries, Moral Ambiguity, Gray Harry, Neutral Harry, Manipulative Albus Dumbledore, but he also tries, it just doesnt work out the way he wants, Slytherins are people too, Work In Progress, irregular updates, Post-Traumatic Stress Disorder - PTSD, Implied/Referenced Child Abuse, Magically Powerful Harry Potter, Paganism, Pagan Festivals, papa snape, Slow Burn, But does it count as slow burn if we are just waiting for Harry to grow up, no beta we die like men, monstrously long fic, seriously, the sort of fic where you sink up to your eyeballs and marinate for a while, it is 120k words before Harry and Tom even talk, this started out as crack but then it got serious, The Author Regrets Nothing",https://archiveofourown.org/works/15087428
Full circle,"(aka 'how to survive endless rebirth with your so-called soulmate')Harry and Tom’s souls are tied together. Which is why they’re in this endless loop of rebirth. At some point, they stopped caring and just started fucking with people.(cracky humor with a hint of seriousness and plot, my specialty)","Not Rated, Creator Chose Not To Use Archive Warnings, M/M, Harry Potter - J. K. Rowling, Harry Potter/Tom Riddle | Voldemort, Harry Potter/Tom Riddle, Harry Potter, Tom Riddle | Voldemort, Alternate Universe, A different kind of soulmate, Master of Death Harry Potter, Reincarnation, Humor, Crack Treated Seriously, Background Relationships",https://archiveofourown.org/works/6614155
The Contract,"The only way Harry can get free of those who wish to use him is to agree to an already made betrothal contract created by Dorea Black-Potter. Will this simple thing change the course of Harry's predestined - at least by Dumbledore - future? Will he remain neutral or will he turn dark after he learns everything Dumbledore's done? Will there be a wedding in future for Rabastan and Harry? Can they have a chance of happiness or will the two Slytherins by nature at least, only presume to use one another? NO UNDERAGE BETWEEN THE MAIN PAIRING!!!!!!!!!!!","Mature, Creator Chose Not To Use Archive Warnings, F/M, M/M, Harry Potter - J. K. Rowling, Rabastan Lestrange/Harry Potter, Rodolphus Lestrange/Sirius Black, past Rodolphus Lestrange/Bellatrix Lestrange, Tom Marvolo Riddle|Lord Slytherin/Bill Weasley, Rabastan Lestrange, Harry Potter, Corvus Lestrange, Rodolphus Lestrange, Tom Riddle | Voldemort, Albus Dumbledore, Hermione Granger, Ronald Weasley, Draco Malfoy, Blaise Zabini, Sirius Black, Padma Patil, Parvati Patil, Severus Snape, Filius Flitwick, Minerva McGonagall, Pomona Sprout, Poppy Pomfrey, Daphne Greengrass, Vincent Crabbe, Gregory Goyle, Ginny Weasley, Bill Weasley, Charlie Weasley, Fred Weasley, George Weasley, Percy Weasley, carrier harry, Mpreg, Molestation of a Minor (Ginny), Teenage Death (Ronald Weasley), Worldbuilding, Wizarding Politics (Harry Potter), Wizarding Culture (Harry Potter), Wizarding Laws (Harry Potter), Harry changes Wizarding Laws, Sane Voldemort (Harry Potter), Mentions of Suicide in Chapter 110",https://archiveofourown.org/works/17361419?view_full_work=true#kudos
Let The Dark In,"In a world where the rise of Voldemort never occurred, Wizarding society has found new ways to repress and exclude those they consider outsiders. Hermione Granger attends Hogwarts as one of the few Muggle-born students. Despite her efforts to make a place for herself, her future seems set in stone until Sixth Year, when the Triwizard Tournament is announced and everything begins to change.
“Bloody hell,” Ron says from beside her. “I think that blond tosser in the front is a Malfoy.”
She tears her eyes away to stare at Ron. “A who?”
He laughs and points at the blond boy. “Malfoy. I dunno his first name, but he’s definitely got to be a Malfoy. Old pureblood family from here in Britain. Bastards, the lot of them. Always Slytherins here at Hogwarts. Heard his dad sent him to Durmstrang because he didn’t want his son near any Muggle-borns.”","Mature, Creator Chose Not To Use Archive Warnings, F/M, Harry Potter - J. K. Rowling, Hermione Granger/Draco Malfoy, Hermione Granger, Draco Malfoy, Harry Potter, Ron Weasley, Viktor Krum, Albus Dumbledore, Ginny Weasley, Cormac McLaggen, Rita Skeeter, Severus Snape, Durmstrang Student Draco Malfoy, Alternate Universe - No Voldemort, Dark Magic, Triwizard Tournament, The Dark Arts (Harry Potter), Morally Grey Hermione Granger, Slow Burn, No Voldemort Does Not Mean No Bigotry, Angst, Hogwarts Sixth Year, Violence, Attempted Sexual Coercion, Triwizard Champion Hermione Granger, Minor Character Death, Implied/Referenced Suicide, Secret Relationship, Bigotry & Prejudice, Sexual Content, Rivals With Benefits, Combat Training As Foreplay",https://archiveofourown.org/works/32850244?show_comments=true&view_full_work=true#comments
All Our Secrets Laid Bare,"Over the six years Draco Malfoy has been an Auror, four of his partners have turned up dead. Harry Potter is assigned as his newest partner to investigate just what is going on.","Explicit, Creator Chose Not To Use Archive Warnings, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Hermione Granger/Ron Weasley, Harry Potter/Original Male Character(s), Draco Malfoy, Harry Potter, Ron Weasley, Hermione Granger, Original Male Character(s), Original Female Character(s), Lucius Malfoy, Narcissa Black Malfoy, Kingsley Shacklebolt, Auror Partners, Sexual Content, Wandless Magic, Mystery, Investigations, Magical Tattoos, Getting Together, Trapped, Secrets, Secret Relationship, Shower Sex, First Time, Loss of Virginity, Blow Jobs, Office Sex, Duelling, Falling In Love, Hats, Glasses, Curry, Tea, Bars and Pubs, Hoodies",https://archiveofourown.org/works/1227880?view_full_work=true#kudos
Soup-pocalypse and The Great Curry Cataclysm,"Eleven years after the war, Draco Malfoy leads a quiet, boring, and perfectly respectable life, thanks very much. Or, at least he does, until a sudden and very unexpected veela awakening causes him to throw soup all over Harry Potter in the middle of the Ministry cafeteria.","Explicit, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Harry Potter, Draco Malfoy, Teddy Lupin, Hermione Granger, Ron Weasley, Lavender Brown, Veela Draco Malfoy, Veela Mates, Teddy Lupin was Raised by Harry Potter, Parent Harry Potter, Depression, Mental Health Issues, Slow Burn, Enemies to Lovers, Angst, Humor, Hurt/Comfort, Explicit Sexual Content, Bottom Draco Malfoy, Top Harry Potter, Past Suicide Attempt, H/D Food Fair 2018, Ministry of Magic Employee Draco Malfoy, Harry Potter Thinks Draco Malfoy is Up to Something, Draco Malfoy Cooks, Courtship, Food Issues, Romance, Pining Draco Malfoy, Auror Harry Potter, Post-Hogwarts, Harry Potter Epilogue What Epilogue | EWE",https://archiveofourown.org/works/16036310?view_full_work=true#kudos
